title,link,description,{http://purl.org/rss/1.0/modules/content/}encoded,pubDate,guid,ID
b'Hemp & Herbs Hanf Kr\xc3\xa4utertee',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/94414',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/aecf5359-3d68-44a6-bff6-5388070c4f5d/tee.PNG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nHemp & Herbs Hanf Kr\xc3\xa4utertee<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nHersteller: Dutch Harvest\n\nVertrieb Fa. Claus Reformwaren Service Team GmbH<br/>\n<b>Grund der Warnung:</b>\nLaut einem vorliegenden Gutachten wurde ein zu hoher Gehalt an THC (Tetrahydrocannabinol) im Produkt analysiert.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Niedersachsen, Rheinland-Pfalz, Sachsen<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/aecf5359-3d68-44a6-bff6-5388070c4f5d/tee.PNG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nHemp & Herbs Hanf Kr\xc3\xa4utertee<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nHersteller: Dutch Harvest\n\nVertrieb Fa. Claus Reformwaren Service Team GmbH<br/>\n<b>Grund der Warnung:</b>\nLaut einem vorliegenden Gutachten wurde ein zu hoher Gehalt an THC (Tetrahydrocannabinol) im Produkt analysiert.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Niedersachsen, Rheinland-Pfalz, Sachsen<br/>\n'","b'Wed, 26 Jul 2023 07:20:10 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/94414',66
b'Al Kharouf Halva',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/94372',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/89797626-1e13-489b-878a-e9fc5181f99c/Halva.jpg"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nAl Kharouf Halva<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nFadie Food B.V.<br/>\n<b>Grund der Warnung:</b>\nSalmonellen<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bremen, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen-Anhalt, Schleswig-Holstein, Th\xc3\xbcringen<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/89797626-1e13-489b-878a-e9fc5181f99c/Halva.jpg"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nAl Kharouf Halva<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nFadie Food B.V.<br/>\n<b>Grund der Warnung:</b>\nSalmonellen<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bremen, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen-Anhalt, Schleswig-Holstein, Th\xc3\xbcringen<br/>\n'","b'Mon, 24 Jul 2023 11:54:57 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/94372',67
b'funny-frisch Brezli',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/94263',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/08192040-fb75-461a-b696-9364357b6b59/Foto.jpg"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nfunny-frisch Brezli<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nIntersnack SE, K\xc3\xb6ln<br/>\n<b>Grund der Warnung:</b>\nIn wenigen Packungen des vom Markt genommenen Produktes wurden irrt\xc3\xbcmlich zus\xc3\xa4tzlich zum eigentlichen Produkt einige Cracker abgef\xc3\xbcllt, die Milch enthalten. Diese Zutat ist nicht auf der Verpackung deklariert.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Th\xc3\xbcringen<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/08192040-fb75-461a-b696-9364357b6b59/Foto.jpg"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nfunny-frisch Brezli<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nIntersnack SE, K\xc3\xb6ln<br/>\n<b>Grund der Warnung:</b>\nIn wenigen Packungen des vom Markt genommenen Produktes wurden irrt\xc3\xbcmlich zus\xc3\xa4tzlich zum eigentlichen Produkt einige Cracker abgef\xc3\xbcllt, die Milch enthalten. Diese Zutat ist nicht auf der Verpackung deklariert.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Th\xc3\xbcringen<br/>\n'","b'Thu, 20 Jul 2023 15:24:16 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/94263',68
b'Alpen Riegel Strawberry & Yoghurt 145 g',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/94025',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/6dc5c47d-6a0f-4a1c-9201-185e2506f74b/RiegelG.PNG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nAlpen Riegel Strawberry & Yoghurt 145 g<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nInverkehrbringer: Genuport Trade GmbH\n\nVertrieb \xc3\xbcber Fa. M\xc3\xbcller<br/>\n<b>Grund der Warnung:</b>\nDer Distributor Genuport Trade GmbH ruft zusammen mit dem Hersteller Weetabix Ltd. den Artikel Alpen Riegel Strawberry & Yoghurt 145 g zur\xc3\xbcck.\nGrund: fehlende deutsche Deklaration.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Th\xc3\xbcringen<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/6dc5c47d-6a0f-4a1c-9201-185e2506f74b/RiegelG.PNG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nAlpen Riegel Strawberry & Yoghurt 145 g<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nInverkehrbringer: Genuport Trade GmbH\n\nVertrieb \xc3\xbcber Fa. M\xc3\xbcller<br/>\n<b>Grund der Warnung:</b>\nDer Distributor Genuport Trade GmbH ruft zusammen mit dem Hersteller Weetabix Ltd. den Artikel Alpen Riegel Strawberry & Yoghurt 145 g zur\xc3\xbcck.\nGrund: fehlende deutsche Deklaration.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Th\xc3\xbcringen<br/>\n'","b'Thu, 20 Jul 2023 08:47:56 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/94025',69
b'Trainingshandschuhe schwarz',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/bedarfsgegenstaende/94158',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/a84653be-637e-441e-bac6-4d202ba48698/Trainingshandschuhe.JPG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nTrainingshandschuhe schwarz<br/>\n<b>Typ:</b>\nBedarfsgegenst\xc3\xa4nde<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nTEDi GmbH & Co. KG\nBrackeler Hellweg 301\n44309 Dortmund<br/>\n<b>Grund der Warnung:</b>\nProdukttests wiesen erh\xc3\xb6hte PAK-Werte nach.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Th\xc3\xbcringen<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/a84653be-637e-441e-bac6-4d202ba48698/Trainingshandschuhe.JPG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nTrainingshandschuhe schwarz<br/>\n<b>Typ:</b>\nBedarfsgegenst\xc3\xa4nde<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nTEDi GmbH & Co. KG\nBrackeler Hellweg 301\n44309 Dortmund<br/>\n<b>Grund der Warnung:</b>\nProdukttests wiesen erh\xc3\xb6hte PAK-Werte nach.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Th\xc3\xbcringen<br/>\n'","b'Wed, 19 Jul 2023 14:13:25 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/bedarfsgegenstaende/94158',70
b'Tannourine eingelegten Weinbl\xc3\xa4tter im 1000g Glas',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/94033',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/f24e618c-6581-4ec9-a0be-7ac334ed527d/Bild_Glas.jpg"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nTannourine eingelegten Weinbl\xc3\xa4tter im 1000g Glas<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nPalmyra Foods GmbH, \nStellmannskamp 17 , \n27308 Kirchlinteln<br/>\n<b>Grund der Warnung:</b>\nPflanzenschutzmittelr\xc3\xbcckst\xc3\xa4nde<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Brandenburg, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen, Sachsen-Anhalt<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/f24e618c-6581-4ec9-a0be-7ac334ed527d/Bild_Glas.jpg"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nTannourine eingelegten Weinbl\xc3\xa4tter im 1000g Glas<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nPalmyra Foods GmbH, \nStellmannskamp 17 , \n27308 Kirchlinteln<br/>\n<b>Grund der Warnung:</b>\nPflanzenschutzmittelr\xc3\xbcckst\xc3\xa4nde<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Brandenburg, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen, Sachsen-Anhalt<br/>\n'","b'Tue, 18 Jul 2023 10:11:27 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/94033',71
"b'Meerjungfraupuppe rot, lila'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/bedarfsgegenstaende/93829',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/ef080bfe-8985-4196-955b-f77eae089e0d/Meerjungfraupuppe.JPG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nMeerjungfraupuppe rot, lila<br/>\n<b>Typ:</b>\nBedarfsgegenst\xc3\xa4nde<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nTEDi GmbH & Co. KG\nBrackeler Hellweg 301\n44309 Dortmund<br/>\n<b>Grund der Warnung:</b>\nProdukttests wiesen erh\xc3\xb6hte Werte an Weichmachern nach.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Th\xc3\xbcringen<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/ef080bfe-8985-4196-955b-f77eae089e0d/Meerjungfraupuppe.JPG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nMeerjungfraupuppe rot, lila<br/>\n<b>Typ:</b>\nBedarfsgegenst\xc3\xa4nde<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nTEDi GmbH & Co. KG\nBrackeler Hellweg 301\n44309 Dortmund<br/>\n<b>Grund der Warnung:</b>\nProdukttests wiesen erh\xc3\xb6hte Werte an Weichmachern nach.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Th\xc3\xbcringen<br/>\n'","b'Thu, 13 Jul 2023 13:29:26 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/bedarfsgegenstaende/93829',72
b'MDH Fish Curry Masala',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/93869',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/95674459-6c4d-4e63-b94c-a913db7df711/MDH Fish Curry Masala Picture.jpg"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nMDH Fish Curry Masala<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nGlobal Foods Trading GmbH, Am Winkelgraben 1a, 64584 Biebesheim<br/>\n<b>Grund der Warnung:</b>\nNachweis von Ethylenoxid<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Bremen, Hamburg, Hessen, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen-Anhalt<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/95674459-6c4d-4e63-b94c-a913db7df711/MDH Fish Curry Masala Picture.jpg"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nMDH Fish Curry Masala<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nGlobal Foods Trading GmbH, Am Winkelgraben 1a, 64584 Biebesheim<br/>\n<b>Grund der Warnung:</b>\nNachweis von Ethylenoxid<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Bremen, Hamburg, Hessen, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen-Anhalt<br/>\n'","b'Thu, 13 Jul 2023 12:11:35 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/93869',73
"b'DURRA Sesame Tahina / Tahini Sesampaste, 400g'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/93852',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/e741d62b-d71b-44af-96bb-831cfbc2a362/Produktfoto Tahina.jpg"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nDURRA Sesame Tahina / Tahini Sesampaste, 400g<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nOrienta Foods GmbH\nAm Treff 1\n06124 Halle Saale<br/>\n<b>Grund der Warnung:</b>\nBei den Untersuchungen wurden in dem Produkt Salmonellen nachgewiesen.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Niedersachsen, Sachsen, Sachsen-Anhalt, Th\xc3\xbcringen<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/e741d62b-d71b-44af-96bb-831cfbc2a362/Produktfoto Tahina.jpg"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nDURRA Sesame Tahina / Tahini Sesampaste, 400g<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nOrienta Foods GmbH\nAm Treff 1\n06124 Halle Saale<br/>\n<b>Grund der Warnung:</b>\nBei den Untersuchungen wurden in dem Produkt Salmonellen nachgewiesen.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Niedersachsen, Sachsen, Sachsen-Anhalt, Th\xc3\xbcringen<br/>\n'","b'Thu, 13 Jul 2023 10:43:41 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/93852',74
b'Artikel 52078156 - Cupcake Dip&Lick 40 gram - (12x12st)',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/93836',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/85677c2a-2c45-4ea0-81ee-b080b3b00f10/Produktbild.png"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nArtikel 52078156 - Cupcake Dip&Lick 40 gram - (12x12st)<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nStarsweets Holland B.V.<br/>\n<b>Grund der Warnung:</b>\nVerschluckungsgefahr<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Niedersachsen, Nordrhein-Westfalen, Sachsen-Anhalt, Th\xc3\xbcringen<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/85677c2a-2c45-4ea0-81ee-b080b3b00f10/Produktbild.png"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nArtikel 52078156 - Cupcake Dip&Lick 40 gram - (12x12st)<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nStarsweets Holland B.V.<br/>\n<b>Grund der Warnung:</b>\nVerschluckungsgefahr<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Niedersachsen, Nordrhein-Westfalen, Sachsen-Anhalt, Th\xc3\xbcringen<br/>\n'","b'Wed, 12 Jul 2023 09:19:03 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/93836',75
b'djive naturals - Pure Nature 16% CBD',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/93817',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/af9bba38-1181-4210-beab-2cd8544cbb52/Hanf Aroma \xc3\x96l Pure Nature 16.png"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\ndjive naturals - Pure Nature 16% CBD<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nFa. Green Squad, Liebigsstr. 10, 76135 Karlsruhe<br/>\n<b>Grund der Warnung:</b>\nDas Produkt enth\xc3\xa4lt als Novel-Food-Zutat CBDhaltiges Hanfextrakt; Gesundheitsgefahr durch hohe Gehalte an CBD.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Rheinland-Pfalz<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/af9bba38-1181-4210-beab-2cd8544cbb52/Hanf Aroma \xc3\x96l Pure Nature 16.png"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\ndjive naturals - Pure Nature 16% CBD<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nFa. Green Squad, Liebigsstr. 10, 76135 Karlsruhe<br/>\n<b>Grund der Warnung:</b>\nDas Produkt enth\xc3\xa4lt als Novel-Food-Zutat CBDhaltiges Hanfextrakt; Gesundheitsgefahr durch hohe Gehalte an CBD.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Rheinland-Pfalz<br/>\n'","b'Tue, 11 Jul 2023 13:37:36 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/93817',76
b'Shan - Fish Biryan',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/93778',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/e3a609a5-a608-41c1-8ff0-452cc92250f4/Fish Biryan.PNG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nShan - Fish Biryan<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nStar Food Impex GmbH\nHolstenhofweg 41a, 22043 Hamburg\n040 228 67 228 0\ninfo@starfoodimpex.de<br/>\n<b>Grund der Warnung:</b>\nBefund von R\xc3\xbcckst\xc3\xa4nden aus Pflanzenschutz- und Sch\xc3\xa4dlingsbek\xc3\xa4mpfungsmitteln \xe2\x80\x9eEthylenoxid\xe2\x80\x9c<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Bremen, Hamburg, Hessen, Niedersachsen, Nordrhein-Westfalen, Sachsen-Anhalt, Schleswig-Holstein<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/e3a609a5-a608-41c1-8ff0-452cc92250f4/Fish Biryan.PNG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nShan - Fish Biryan<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nStar Food Impex GmbH\nHolstenhofweg 41a, 22043 Hamburg\n040 228 67 228 0\ninfo@starfoodimpex.de<br/>\n<b>Grund der Warnung:</b>\nBefund von R\xc3\xbcckst\xc3\xa4nden aus Pflanzenschutz- und Sch\xc3\xa4dlingsbek\xc3\xa4mpfungsmitteln \xe2\x80\x9eEthylenoxid\xe2\x80\x9c<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Bremen, Hamburg, Hessen, Niedersachsen, Nordrhein-Westfalen, Sachsen-Anhalt, Schleswig-Holstein<br/>\n'","b'Tue, 11 Jul 2023 09:12:49 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/93778',77
b'Shan - Tikkiya Kabab Masala',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/93750',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/cf305196-441a-4721-91b4-a35263539fc5/Tikkiya Kabab Masala.PNG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nShan - Tikkiya Kabab Masala<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nStar Food Impex GmbH\nHolstenhofweg 41a, 22043 Hamburg\n040 228 67 228 0\ninfo@starfoodimpex.de<br/>\n<b>Grund der Warnung:</b>\nBefund von R\xc3\xbcckst\xc3\xa4nden aus Pflanzenschutz- und Sch\xc3\xa4dlingsbek\xc3\xa4mpfungsmitteln \xe2\x80\x9eEthylenoxid\xe2\x80\x9c<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBayern, Hamburg, Niedersachsen, Nordrhein-Westfalen, Schleswig-Holstein<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/cf305196-441a-4721-91b4-a35263539fc5/Tikkiya Kabab Masala.PNG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nShan - Tikkiya Kabab Masala<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nStar Food Impex GmbH\nHolstenhofweg 41a, 22043 Hamburg\n040 228 67 228 0\ninfo@starfoodimpex.de<br/>\n<b>Grund der Warnung:</b>\nBefund von R\xc3\xbcckst\xc3\xa4nden aus Pflanzenschutz- und Sch\xc3\xa4dlingsbek\xc3\xa4mpfungsmitteln \xe2\x80\x9eEthylenoxid\xe2\x80\x9c<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBayern, Hamburg, Niedersachsen, Nordrhein-Westfalen, Schleswig-Holstein<br/>\n'","b'Tue, 11 Jul 2023 08:59:42 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/93750',78
